iter	Logloss
0	0.5199119424
1	0.446449685
2	0.4108064945
3	0.3954999074
4	0.3870360905
5	0.3766619569
6	0.3740734575
7	0.3702069026
8	0.366198004
9	0.3623304846
10	0.3591216842
11	0.3577384099
12	0.3562493859
13	0.3548058131
14	0.3539901931
15	0.3517344331
16	0.3515032757
17	0.3514112884
18	0.3509014615
19	0.3501345778
20	0.3500838184
21	0.3497861791
22	0.3490911858
23	0.3488129095
24	0.3446018098
25	0.3441739733
26	0.343593247
27	0.3433525574
28	0.3429621907
29	0.3427025971
30	0.3424210738
31	0.3422290966
32	0.341959148
33	0.3402585406
34	0.3399557702
35	0.33854384
36	0.3384766416
37	0.3384744046
38	0.338175961
39	0.3377934832
40	0.3374051222
41	0.3372297031
42	0.3369809514
43	0.3331501798
44	0.3329798728
45	0.3315636066
46	0.3285362693
47	0.3283638529
48	0.3252740879
49	0.3236483998
50	0.3214311007
51	0.3201026158
52	0.3169645174
53	0.3130542305
54	0.3126303646
55	0.3120502129
56	0.3102230541
57	0.3102186857
58	0.3100307167
59	0.3099662905
60	0.3098963691
61	0.3081515199
62	0.3073449195
63	0.307269776
64	0.3070478166
65	0.3059836255
66	0.3024704804
67	0.3018562398
68	0.2982491276
69	0.298126909
70	0.2981150425
71	0.2958862002
72	0.2958516716
73	0.2955910409
74	0.2952150853
75	0.2952122909
76	0.2928408237
77	0.29279196
78	0.2905620854
79	0.2903184297
80	0.2902665037
81	0.2892358416
82	0.2891492565
83	0.2889910169
84	0.2885998039
85	0.2880169666
86	0.2878751449
87	0.2862300189
88	0.2830624715
89	0.2807509655
90	0.2784324048
91	0.2782779193
92	0.2780427893
93	0.2776463127
94	0.2772237006
95	0.275918796
96	0.274191712
97	0.2741760335
98	0.2741306322
99	0.2740447676
100	0.2733711126
101	0.2718846262
102	0.2709561364
103	0.2707024311
104	0.2702051576
105	0.2702044061
106	0.2700512862
107	0.2700511286
108	0.2699571919
109	0.2693754067
110	0.2693460837
111	0.2693369098
112	0.2691486528
113	0.2660858926
114	0.2660410315
115	0.2660305458
116	0.2653373578
117	0.265229444
118	0.264993087
119	0.2640575588
120	0.2639728894
121	0.2639171409
122	0.2634353663
123	0.2631506194
124	0.261051648
125	0.2609521907
126	0.2605722154
127	0.2581656148
128	0.2566876196
129	0.2563710299
130	0.2562348922
131	0.2530006471
132	0.2523424756
133	0.2519184699
134	0.2518771096
135	0.2518557684
136	0.2502148896
137	0.2501808172
138	0.2496353057
139	0.2486140626
140	0.2482918403
141	0.247349426
142	0.2472941938
143	0.2461377898
144	0.2461150743
145	0.2460809695
146	0.2460711474
147	0.2459913361
148	0.2458705256
149	0.2449088964
150	0.2431146677
151	0.242674148
152	0.2404604441
153	0.2404235165
154	0.2403137337
155	0.2402277294
156	0.2400870712
157	0.2376933446
158	0.2374577003
159	0.2372585806
160	0.2367538
161	0.2353610893
162	0.2352517409
163	0.2352466422
164	0.2330864753
165	0.2319520959
166	0.2319198145
167	0.2315706497
168	0.2315169051
169	0.2303840417
170	0.2289324931
171	0.2287807046
172	0.2276479061
173	0.2261947375
174	0.2260650279
175	0.2260311906
176	0.2252640464
177	0.2244734628
178	0.2241566881
179	0.2229831077
180	0.2224189846
181	0.2214486748
182	0.2203705887
183	0.2199686911
184	0.2184832256
185	0.2183057139
186	0.21780154
187	0.2170436783
188	0.2166594344
189	0.2160255722
190	0.2154552525
191	0.2139337977
192	0.2139082572
193	0.2126613113
194	0.2116083298
195	0.2109329963
196	0.2106149359
197	0.2102022552
198	0.2100835994
199	0.2100616982
200	0.2098761902
201	0.2093134659
202	0.2092727892
203	0.2092243789
204	0.2092077705
205	0.2091150423
206	0.2090049587
207	0.2082275868
208	0.2073988289
209	0.207277356
210	0.206974829
211	0.2066047298
212	0.2065905624
213	0.2057112811
214	0.2056987685
215	0.2050365609
216	0.2049963442
217	0.204779043
218	0.2047037136
219	0.2045324655
220	0.2043086259
221	0.2040764499
222	0.2039594503
223	0.2029053327
224	0.2024075765
225	0.2023159407
226	0.2021058279
227	0.2020609213
228	0.2017640084
229	0.2012691071
230	0.2003941375
231	0.2002449293
232	0.2002414985
233	0.2001961117
234	0.1999807633
235	0.1997457555
236	0.1991397165
237	0.1986607277
238	0.1986216447
239	0.1981389603
240	0.1981260171
241	0.1978921669
242	0.1977914322
243	0.1968247089
244	0.1964512156
245	0.1963905656
246	0.1963101637
247	0.1960041254
248	0.1958394692
249	0.1957849579
250	0.1957166852
251	0.1954648545
252	0.19542392
253	0.1951286011
254	0.194452996
255	0.1940737704
256	0.1939260503
257	0.1937387024
258	0.1935259254
259	0.1930399891
260	0.1918932472
261	0.1918261127
262	0.191787581
263	0.191496585
264	0.1913848292
265	0.191364824
266	0.1913466362
267	0.191336266
268	0.1908905531
269	0.1905626639
270	0.190511556
271	0.1901528571
272	0.1899918856
273	0.1898175565
274	0.1897670005
275	0.1897550246
276	0.1895051721
277	0.1890554176
278	0.1890359967
279	0.1889945174
280	0.1886378196
281	0.1881769685
282	0.1880754911
283	0.1875558434
284	0.1872922361
285	0.1870967131
286	0.186952653
287	0.1868785334
288	0.1867811169
289	0.1864896867
290	0.1864392682
291	0.186438757
292	0.1864155455
293	0.1863158284
294	0.1861003745
295	0.1860731848
296	0.18572209
297	0.1854545606
298	0.185181378
299	0.1851170461
300	0.1848035608
301	0.18455678
302	0.1844810846
303	0.184359457
304	0.1842941301
305	0.1842130224
306	0.1841099194
307	0.1837849386
308	0.1837584685
309	0.1837321133
310	0.1837290501
311	0.1836034136
312	0.1835663166
313	0.1835246845
314	0.1833078364
315	0.1824070313
316	0.1823709108
317	0.181516097
318	0.1809038249
319	0.1804547031
320	0.1804277977
321	0.1799750584
322	0.1798899102
323	0.1797777896
324	0.1794714018
325	0.1793106062
326	0.179074477
327	0.1788809464
328	0.1788280564
329	0.1788064567
330	0.1787905081
331	0.1787701965
332	0.1785966741
333	0.1785513251
334	0.178286702
335	0.1782734888
336	0.1782228871
337	0.1777109478
338	0.1771919418
339	0.1771163347
340	0.1770646572
341	0.1762704664
342	0.1761541987
343	0.1759390839
344	0.1759092018
345	0.1757145015
346	0.1756938272
347	0.1756188363
348	0.1745071083
349	0.1741319983
350	0.174113219
351	0.1734423158
352	0.1730943359
353	0.1730652472
354	0.1730407926
355	0.172955925
356	0.1728840771
357	0.1728827139
358	0.1728807351
359	0.1727025578
360	0.1725279794
361	0.1725030642
362	0.1722601676
363	0.1721458284
364	0.1711656374
365	0.1705976507
366	0.1705933589
367	0.1705698719
368	0.1701782924
369	0.1698668381
370	0.1697983602
371	0.169384773
372	0.1689144181
373	0.1686790213
374	0.168675485
375	0.1686705248
376	0.168522425
377	0.1683771814
378	0.1680564438
379	0.168012612
380	0.1679885595
381	0.1679746199
382	0.1679107191
383	0.1679008455
384	0.1678904081
385	0.1677847686
386	0.1673538099
387	0.1672991792
388	0.1671043648
389	0.167102337
390	0.1670195632
391	0.1665883405
392	0.1661854449
393	0.1661175963
394	0.1661051811
395	0.1660051656
396	0.1656195217
397	0.1653856121
398	0.1652171906
399	0.1652131583
400	0.1649063068
401	0.1648358313
402	0.16472059
403	0.1646890637
404	0.1646704068
405	0.1646652401
406	0.1644894646
407	0.164442845
408	0.1643669766
409	0.1642227216
410	0.163434052
411	0.1627688942
412	0.1626545472
413	0.1624103334
414	0.1623595388
415	0.1622720107
416	0.1620739019
417	0.1617470147
418	0.1615615348
419	0.1615064006
420	0.1610164743
421	0.1606589875
422	0.1596332102
423	0.159354484
424	0.1589395188
425	0.158825194
426	0.1588050192
427	0.158661655
428	0.1586412567
429	0.1584824791
430	0.1584050556
431	0.1581948156
432	0.1581657754
433	0.158127963
434	0.1579201922
435	0.1578774759
436	0.157840153
437	0.157748081
438	0.1574645037
439	0.1574588259
440	0.156917226
441	0.1565412525
442	0.1561388396
443	0.1561267308
444	0.1560765226
445	0.1557484732
446	0.1556541283
447	0.155595906
448	0.1555819841
449	0.1552988187
450	0.1552980328
451	0.1552271796
452	0.1551479391
453	0.1551161633
454	0.1549092338
455	0.1549009876
456	0.1548682583
457	0.1547665404
458	0.1547535069
459	0.1547233014
460	0.1545535501
461	0.1544961546
462	0.1542133295
463	0.1542046369
464	0.1541384786
465	0.1540259476
466	0.1540002399
467	0.153991435
468	0.1539813728
469	0.1538173934
470	0.1536285414
471	0.1532129203
472	0.1531265815
473	0.1528010033
474	0.1526270046
475	0.1524326649
476	0.1523755672
477	0.1523691021
478	0.1523364089
479	0.1522856726
480	0.1522769631
481	0.152059007
482	0.1519393388
483	0.1518846869
484	0.1517560217
